message_body,content_offset_seconds,message_user_color,commenter_display_name,message_fragments
SHADOW DOOOGS PowerUpL OhMyDog PowerUpR SHADOW DOOOGS PowerUpL OhMyDog PowerUpR SHADOW DOOOGS PowerUpL OhMyDog PowerUpR SHADOOOW DOOOGS PowerUpL OhMyDog PowerUpR SHADOW DOOOGS PowerUpL OhMyDog PowerUpR SHADOW DOOOGS PowerUpL OhMyDog PowerUpR,18.16,,francessssssss,"[{""text"": ""SHADOW DOOOGS ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOW DOOOGS ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOW DOOOGS ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOOOW DOOOGS ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOW DOOOGS ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOW DOOOGS ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}]"
WutFace DISGUSTING WutFace,18.35,,Prnstarazmo,"[{""text"": ""WutFace"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""28087""}}, {""text"": "" DISGUSTING ""}, {""text"": ""WutFace"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""28087""}}]"
Hi,18.586,#B22222,Youbeebhole,"[{""text"": ""Hi""}]"
WE BACK BOIS,18.669,,Sncrimson,"[{""text"": ""WE BACK BOIS""}]"
PRERECORDED,18.682,,tovarusulSTALIN,"[{""text"": ""PRERECORDED""}]"
PogChamp PogChamp PogChamp PogChamp LUL,18.773,,apemonkeypog,"[{""text"": ""PogChamp"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""88""}}, {""text"": "" ""}, {""text"": ""PogChamp"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""88""}}, {""text"": "" ""}, {""text"": ""PogChamp"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""88""}}, {""text"": "" ""}, {""text"": ""PogChamp"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""88""}}, {""text"": "" ""}, {""text"": ""LUL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425618""}}]"
Ads,18.872,#00FF7F,MystiiezOCE,"[{""text"": ""Ads""}]"
POGGERS,18.916,#1E90FF,Souchy7,"[{""text"": ""POGGERS""}]"
PogYou,18.924,#DAA520,Mongaro,"[{""text"": ""PogYou""}]"
Late WeirdChamp,19.135,#008000,VrootCyber,"[{""text"": ""Late WeirdChamp""}]"
